client_id,company_name,industry,company_size,annual_revenue,headquarters_country,contact_email,phone,website,acquisition_channel,risk_score,monthly_retainer,client_since
CLIENT_000000,Company 1,Manufacturing,Enterprise,43254800808.17467,Germany,contact0@company0.com,+1-847-171-2184,https://company0.com,Referral,0.5264770112606431,101045.67205015288,2024-09-05
CLIENT_000001,Company 2,Education,Mid-market,-877537684.2361097,UK,contact1@company1.com,+1-407-879-5603,https://company1.com,Referral,0.5214317115802636,104215.9425482724,2023-04-24
CLIENT_000002,Company 3,Financial Services,Startup,1831693586.1344888,Canada,contact2@company2.com,+1-559-727-1442,https://company2.com,Partner,0.9081937816786125,1261.8954558286755,2023-07-02
CLIENT_000003,Company 4,Financial Services,Enterprise,19835709412.926643,USA,contact3@company3.com,+1-329-928-4933,https://company3.com,LinkedIn,0.9222128434709916,102365.19649291637,2022-09-24
CLIENT_000004,Company 5,Technology,Enterprise,37656366590.825096,France,contact4@company4.com,+1-746-353-5169,https://company4.com,Website,0.4369417713738328,94357.31208246533,2024-05-05
CLIENT_000005,Company 6,Healthcare,SMB,200574640.0506612,UK,contact5@company5.com,+1-276-739-1507,https://company5.com,Referral,0.08522415645701134,6480.994951703913,2022-02-07
CLIENT_000006,Company 7,Healthcare,Mid-market,1534457410.5182252,France,contact6@company6.com,+1-236-601-1340,https://company6.com,Conference,0.6587012020738282,57274.648714471674,2022-04-23
CLIENT_000007,Company 8,Financial Services,Startup,-943622823.5436745,UK,contact7@company7.com,+1-447-105-4528,https://company7.com,Cold Outreach,0.46163824344859056,1395.9669817653034,2025-02-23
CLIENT_000008,Company 9,Education,Enterprise,13828866270.620964,USA,contact8@company8.com,+1-277-514-1986,https://company8.com,LinkedIn,0.5094105879741992,98452.9365773929,2023-09-19
CLIENT_000009,Company 10,Technology,Startup,387023394.6049918,Canada,contact9@company9.com,+1-608-626-7823,https://company9.com,Conference,0.4588339713537676,-194.43390526147596,2023-07-02
CLIENT_000010,Company 11,Education,Enterprise,25188759136.972965,Australia,contact10@company10.com,+1-516-458-9891,https://company10.com,Partner,0.6103310827547754,92427.60779933112,2021-09-09
CLIENT_000011,Company 12,Financial Services,SMB,-529864806.67804754,Germany,contact11@company11.com,+1-537-824-6578,https://company11.com,Conference,0.6669147027516106,3089.6910989235093,2022-01-15
CLIENT_000012,Company 13,Financial Services,SMB,-750755708.0892984,UK,contact12@company12.com,+1-438-695-7332,https://company12.com,Cold Outreach,0.3598136547103683,4864.564823364644,2022-02-23
CLIENT_000013,Company 14,Healthcare,SMB,-2355396524.6739593,Canada,contact13@company13.com,+1-933-790-1581,https://company13.com,Referral,0.5921799277897174,5896.545163669136,2021-12-26
CLIENT_000014,Company 15,E-commerce,Enterprise,51370804827.06013,UK,contact14@company14.com,+1-427-177-1820,https://company14.com,Website,0.3351857431945913,104033.33756140376,2022-09-20
CLIENT_000015,Company 16,Technology,Startup,-781080467.9220223,France,contact15@company15.com,+1-877-697-1712,https://company15.com,Conference,0.3796802010842535,-1566.5383237860078,2021-12-20
CLIENT_000016,Company 17,E-commerce,Startup,946812595.5921668,Germany,contact16@company16.com,+1-764-288-4600,https://company16.com,Referral,0.7065563596261065,3297.7642228453005,2021-11-16
CLIENT_000017,Company 18,Education,Mid-market,1358004848.15368,Germany,contact17@company17.com,+1-464-422-2011,https://company17.com,Website,0.11606534628626422,95228.60756827856,2022-10-25
CLIENT_000018,Company 19,E-commerce,Enterprise,37312785585.907005,Germany,contact18@company18.com,+1-486-609-5246,https://company18.com,Referral,0.5717571181431708,96797.03293753372,2025-02-23
CLIENT_000019,Company 20,E-commerce,Mid-market,158828737.72973567,Australia,contact19@company19.com,+1-929-275-2472,https://company19.com,LinkedIn,0.9542786586929541,70460.05967977188,2024-04-25
CLIENT_000020,Company 21,E-commerce,Startup,-289410407.44203424,UK,contact20@company20.com,+1-534-635-7046,https://company20.com,Cold Outreach,0.4108951715920726,-2108.795300859825,2024-11-08
CLIENT_000021,Company 22,Education,Startup,-255214875.52784044,Australia,contact21@company21.com,+1-421-287-4261,https://company21.com,Website,0.26359052767925356,-1361.0352960319105,2022-12-26
CLIENT_000022,Company 23,E-commerce,SMB,480318037.1359206,Canada,contact22@company22.com,+1-544-463-4974,https://company22.com,Referral,0.6645218185990303,1430.3932119590113,2025-01-23
CLIENT_000023,Company 24,Education,Enterprise,17609632482.757248,Germany,contact23@company23.com,+1-623-823-5849,https://company23.com,Cold Outreach,0.38727918597252875,100248.07603414326,2022-07-30
CLIENT_000024,Company 25,Healthcare,Mid-market,2047188479.2361298,France,contact24@company24.com,+1-702-434-5643,https://company24.com,Conference,0.659380501064273,96579.72662436504,2021-08-29
CLIENT_000025,Company 26,Financial Services,Startup,-1151038284.8579268,Germany,contact25@company25.com,+1-358-506-4098,https://company25.com,Partner,0.24250989159988412,3623.910658041267,2021-12-15
CLIENT_000026,Company 27,Education,Mid-market,1569214789.1138248,France,contact26@company26.com,+1-647-890-7776,https://company26.com,Cold Outreach,1.0346183946477048,44957.13614067525,2023-09-29
CLIENT_000027,Company 28,Healthcare,SMB,418169502.95012987,USA,contact27@company27.com,+1-432-479-7724,https://company27.com,Conference,0.09492213670720848,10814.680910474654,2024-09-25
CLIENT_000028,Company 29,Manufacturing,SMB,1934668431.38105,Canada,contact28@company28.com,+1-246-736-9393,https://company28.com,Website,0.6813577546546988,3197.550062524914,2021-11-10
CLIENT_000029,Company 30,Technology,Enterprise,42965603356.621796,France,contact29@company29.com,+1-873-798-9215,https://company29.com,Website,0.4922314630158904,93845.57792743752,2024-02-15
CLIENT_000030,Company 31,Healthcare,Enterprise,28480155011.83009,USA,contact30@company30.com,+1-987-168-7307,https://company30.com,Partner,0.7474291838194173,99534.89676243544,2024-11-18
CLIENT_000031,Company 32,Technology,Mid-market,2519310859.899938,France,contact31@company31.com,+1-218-400-1764,https://company31.com,Website,0.8284232602179169,36917.827102796444,2024-12-27
CLIENT_000032,Company 33,Healthcare,Mid-market,41720938.402999595,USA,contact32@company32.com,+1-686-363-7834,https://company32.com,Cold Outreach,0.7205478325394722,47849.2649545423,2024-06-23
CLIENT_000033,Company 34,Technology,Mid-market,826787294.1372204,Canada,contact33@company33.com,+1-236-935-9181,https://company33.com,Referral,0.5056786038357522,73825.21658411092,2024-02-02
CLIENT_000034,Company 35,Healthcare,Mid-market,52954034.75587431,Australia,contact34@company34.com,+1-975-516-3015,https://company34.com,LinkedIn,0.2205594230187644,100591.55529563144,2022-05-24
CLIENT_000035,Company 36,Healthcare,Startup,-255715643.59976953,USA,contact35@company35.com,+1-685-772-1178,https://company35.com,LinkedIn,0.7537070873240462,11641.039273573268,2021-12-25
