assignment_id,project_id,member_id,role_on_project,hours_allocated,hours_logged,start_date,end_date
ASN_000000,PROJECT_000000,MEMBER_000101,Support,64,202,2024-02-03,
ASN_000001,PROJECT_000000,MEMBER_000019,Support,115,143,2024-02-03,
ASN_000002,PROJECT_000000,MEMBER_000114,Support,104,126,2024-02-03,
ASN_000003,PROJECT_000001,MEMBER_000102,Support,126,237,2023-11-13,2024-08-21
ASN_000004,PROJECT_000001,MEMBER_000019,Support,40,193,2023-11-13,2024-08-21
ASN_000005,PROJECT_000001,MEMBER_000015,Lead,178,33,2023-11-13,2024-08-21
ASN_000006,PROJECT_000002,MEMBER_000033,Lead,176,18,2024-09-03,
ASN_000007,PROJECT_000002,MEMBER_000086,Developer,180,239,2024-09-03,
ASN_000008,PROJECT_000002,MEMBER_000049,Lead,25,64,2024-09-03,
ASN_000009,PROJECT_000003,MEMBER_000034,Lead,45,152,2023-12-23,2025-01-19
ASN_000010,PROJECT_000003,MEMBER_000118,Lead,41,244,2023-12-23,2025-01-19
ASN_000011,PROJECT_000003,MEMBER_000036,Lead,142,163,2023-12-23,2025-01-19
ASN_000012,PROJECT_000004,MEMBER_000130,Developer,47,24,2024-03-28,
ASN_000013,PROJECT_000004,MEMBER_000051,Lead,130,76,2024-03-28,
ASN_000014,PROJECT_000004,MEMBER_000109,Support,161,24,2024-03-28,
ASN_000015,PROJECT_000005,MEMBER_000086,Developer,148,205,2024-11-25,
ASN_000016,PROJECT_000005,MEMBER_000045,Developer,37,58,2024-11-25,
ASN_000017,PROJECT_000005,MEMBER_000097,Support,88,63,2024-11-25,
ASN_000018,PROJECT_000006,MEMBER_000004,Developer,120,182,2025-01-08,
ASN_000019,PROJECT_000006,MEMBER_000044,Lead,148,44,2025-01-08,
ASN_000020,PROJECT_000006,MEMBER_000060,Lead,189,130,2025-01-08,
ASN_000021,PROJECT_000007,MEMBER_000067,Support,136,141,2023-08-26,
ASN_000022,PROJECT_000007,MEMBER_000045,Lead,45,116,2023-08-26,
ASN_000023,PROJECT_000007,MEMBER_000084,Lead,161,192,2023-08-26,
