project_id,client_id,project_name,project_type,tech_stack,project_status,priority,start_date,planned_end_date,actual_end_date,budget_original,budget_current,hours_estimated,hours_actual,team_size,complexity_score
PROJECT_000000,CLIENT_000000,E-commerce Site Project 1,E-commerce Site,Java/Spring/Oracle,Planning,Medium,2024-02-03,2024-10-15,,-18448.280368184456,7734.3012204250335,76.50517895839488,17.398422527970403,4.953537062678966,6.486486969306222
PROJECT_000001,CLIENT_000001,API Development Project 2,API Development,React/Node.js/PostgreSQL,Completed,Low,2023-11-13,2024-07-13,2024-08-21,10106.143652331395,40260.214381420956,89.42954200121851,-27.799502150103507,3.960003796390414,7.189193307796713
PROJECT_000002,CLIENT_000002,CRM System Project 3,CRM System,React/Node.js/PostgreSQL,Planning,Low,2024-09-03,2025-04-29,,215076.3072510169,224511.33992511145,1558.9334261018794,1102.9716874533542,2.8928297478682685,5.072492710379846
PROJECT_000003,CLIENT_000003,CRM System Project 4,CRM System,React/Node.js/PostgreSQL,Completed,Medium,2023-12-23,2025-01-10,2025-01-19,457766.16033850703,562579.9377263666,3221.8452237024803,2285.571759932116,5.7797859212118246,9.713491531002447
PROJECT_000004,CLIENT_000004,DevOps Setup Project 5,DevOps Setup,Java/Spring/Oracle,Deployment,High,2024-03-28,2025-02-10,,17842.72804911615,27874.762460466736,240.02483500922926,-20.179632320791626,6.886107396152809,9.96821887056467
PROJECT_000005,CLIENT_000005,Web Application Project 6,Web Application,Java/Spring/Oracle,Testing,Low,2024-11-25,2025-09-16,,394018.52753396647,422565.0355473929,2595.690189970386,2068.1448693900584,5.283408633797422,7.717811031719038
PROJECT_000006,CLIENT_000006,API Development Project 7,API Development,Java/Spring/Oracle,Development,Medium,2025-01-08,2026-01-01,,131137.01265741957,140208.0191773772,850.2867392817085,1036.3284258132924,5.958436403198381,9.833238672857265
PROJECT_000007,CLIENT_000007,Mobile App Project 8,Mobile App,React/Node.js/PostgreSQL,Planning,Low,2023-08-26,2023-12-16,,103915.07330826868,81554.75598479272,471.9500914164436,600.6692193965077,2.9478881153449388,2.0484699500081938
PROJECT_000008,CLIENT_000008,DevOps Setup Project 9,DevOps Setup,Java/Spring/Oracle,Completed,High,2025-04-11,2025-08-24,2025-09-08,-174.993811199608,6372.333847339147,40.998703148123596,-31.38655679286893,4.096415494033292,3.1625908154533464
PROJECT_000009,CLIENT_000009,Web Application Project 10,Web Application,Java/Spring/Oracle,Discovery,High,2025-03-04,2026-01-27,,394463.4480042074,500739.80389102135,2803.976502796471,3779.035998788617,6.917159346186533,7.779595042710608
PROJECT_000010,CLIENT_000010,Data Analytics Platform Project 11,Data Analytics Platform,React/Node.js/PostgreSQL,Discovery,Low,2024-12-28,2025-07-21,,75623.54962038335,69869.00980393277,683.5200512278299,536.0750706700684,4.810267201066213,5.960102923060575
PROJECT_000011,CLIENT_000011,API Development Project 12,API Development,Python/Django/MySQL,Deployment,High,2024-09-28,2025-07-02,,39862.78007665418,27024.56032955766,147.69523816285016,151.9765670083824,6.859683319224639,8.327943150653754
PROJECT_000012,CLIENT_000012,API Development Project 13,API Development,Java/Spring/Oracle,Planning,Medium,2025-02-17,2025-04-05,,28354.172298166184,17304.4276895909,-29.604366318408225,160.66819679391332,0.9610840493703515,1.5074798728586374
PROJECT_000013,CLIENT_000013,Mobile App Project 14,Mobile App,React/Node.js/PostgreSQL,Completed,High,2024-05-22,2025-02-02,2025-03-23,195.42236343692457,8572.961780047692,-53.3114037577846,46.31960950624363,4.093947306199124,6.173604356485924
PROJECT_000014,CLIENT_000014,Data Analytics Platform Project 15,Data Analytics Platform,Python/Django/MySQL,Development,Medium,2024-03-20,2024-05-25,,81432.52394337696,82901.35175156828,289.61085582119813,324.3982760221684,0.7599639794063434,0.9577076308992392
PROJECT_000015,CLIENT_000015,CRM System Project 16,CRM System,React/Node.js/PostgreSQL,Completed,Low,2024-03-09,2024-11-03,2024-10-08,325288.5390242891,383844.8097519499,2139.2060382298714,1953.9471283090143,3.1272804366176623,5.4256527996511315
